AG-1 v20140114
sample-rate: 40 Hz
accel range: +/-2 g (+/-32768)
gyro range: +/-250 dps (+/-32768)
dt units: 83.33 ns
dt,accel(x,y,z),gyro(x,y,z)
96677,7152,-7203,15898,-2137,2943,-1624
176581,5821,-12369,15468,-2123,2909,-1669
317107,4987,-12926,15021,-2166,2892,-1630
317162,5862,-12627,15524,-2121,2927,-1647
317187,3619,-13529,14020,-2163,2932,-1640
317054,1639,-14138,11706,-2116,2947,-1673
317115,3488,-13350,10795,-2120,2872,-1613
317119,2981,-13788,8142,-2024,2930,-1561
317159,1592,-13977,6456,-6,2443,1058
317242,325,-12998,8028,9896,961,993
317203,1541,-11430,10238,13659,-6212,1722
317171,1001,-10875,9779,14850,-6765,1871
317202,277,-10454,5989,21266,-10096,-1579
317129,-755,-8865,6266,23137,-13074,-4060
317118,1439,-6279,11847,26440,-32420,-5736
317177,3257,-3968,11363,27467,-27600,-4437
317150,2568,-2228,8281,28756,-25187,-6488
317188,2194,-897,7930,28041,-27330,-12244
317200,3819,1879,9867,25647,-24021,-8822
317187,8489,4989,8868,29949,-32768,-12087
317163,5826,5575,5669,29993,-32768,-13204
317106,5935,6960,4351,28990,-32768,-18581
317139,6500,8685,4335,21980,-32762,-21546
317109,6188,10576,2020,14303,-25292,-21526
317127,5081,11961,-1687,8729,-19222,-23200
317169,3561,13483,-3524,3444,-8999,-23533
317149,3657,15556,-2455,-4338,-1103,-22452
317136,4428,17248,-1702,-7616,4022,-20652
317042,3598,18517,-3250,-9851,12497,-18529
317088,2879,18864,-980,-16274,21702,-16794
317063,4198,19242,6990,-28595,26822,-13617
317063,4020,19473,10778,-32608,24346,-15337
317036,2549,19761,8254,-32608,24722,-15782
316985,1820,19080,9435,-32608,26844,-14915
317078,766,17622,15553,-32608,26057,-14305
317081,-1090,15856,20155,-32608,19985,-17591
317068,-3211,14769,19063,-32608,13678,-20667
317087,-4028,13402,17119,-32608,12537,-17542
317023,-4808,9345,21943,-32608,9062,-18108
317067,-6055,6687,21370,-32608,1827,-18236
317146,-7283,3088,18349,-32608,-1469,-15577
317102,-8226,-2072,20293,-32608,-6693,-15628
317098,-8091,-4725,15906,-32608,-5004,-10776
317065,-7324,-8096,13808,-32468,-4720,-6589
317096,-6187,-12123,17034,-30553,-16044,-8299
317118,-6590,-15056,15465,-28572,-17669,-12744
317110,-6336,-16532,10992,-25414,-20016,-11422
317142,-4428,-16563,7375,-22204,-10705,-2439
317084,-3753,-16260,3345,-21139,-685,5570
317128,-3497,-18206,1435,-11600,-18066,-4179
317103,-1830,-19041,-3999,-4052,-14237,-6254
317129,2126,-17790,736,-4584,-17129,-1251
317138,2791,-15999,1291,-2265,-12780,4457
317146,3548,-15318,-2605,1532,-16747,9099
317124,6529,-16407,-4124,1862,-28865,11211
317146,3234,-18356,406,-420,-25662,3553
317121,-3051,-19212,-3984,5694,-24289,1731
317116,-1516,-18044,-2986,9027,-32556,1434
317127,-2397,-17988,2484,2612,-23508,-1404
317108,-4353,-17256,-686,10052,-29900,-752
317183,-3479,-17492,-3130,13266,-32768,-8839
317151,-2244,-17270,122,11168,-30932,-8264
317136,3196,-14082,-4103,18933,-31427,-4130
317151,245,-15125,-6445,30731,-32768,-14256
317124,-2088,-13334,-6057,32752,-32768,-18418
317084,1652,-8903,-1158,32752,-32768,-21126
317089,3275,-7230,-585,32752,-32768,-26904
317131,1004,-5085,-7589,32752,-32768,-32384
317103,1624,-417,-10283,32752,-32154,-32768
317149,4172,6303,-882,32645,-24619,-32768
317142,6732,7795,8532,28164,-31232,-32768
317112,-338,6090,2357,20815,-16203,-32768
317101,-575,12517,-1436,14931,2421,-32768
317127,3569,17844,1396,8676,5927,-32768
317196,4111,18535,4603,3433,12212,-32768
317191,2673,18582,4433,1627,13818,-32768
317194,2958,18957,5423,-7646,15763,-32690
317176,203,19509,9114,-18677,18937,-32740
317213,-3937,21016,12030,-25064,19033,-32768
317199,-4623,24694,9327,-26088,18988,-32768
317145,-5680,25891,9664,-26425,17787,-32768
317142,-4635,26346,12302,-23441,8493,-32768
317133,-4188,25296,14768,-24211,3637,-32634
317100,-8982,22147,18799,-32510,-2645,-30775
317142,-8185,22116,23563,-32608,-10409,-23802
317160,-5586,21661,22766,-32608,-20333,-15085
317176,-7959,17890,14587,-31472,-23623,-9347
317150,-6581,11424,15362,-32463,-29492,-6992
317149,-4247,8091,21066,-32608,-32757,515
317164,-6310,8853,14242,-24094,-30606,11431
317135,-6941,3025,5030,-12899,-29739,8739
317100,-925,-1427,6860,-4340,-28986,10460
317188,1473,-3387,14240,-5028,-26083,11112
317157,-2826,-5108,20704,-9997,-17130,7763
317158,-1898,-6995,17171,-12825,-3193,7194
317124,5641,-5732,15029,212,-21840,4674
317109,5013,-5559,14716,-1047,-15784,5501
317102,1568,-7067,14500,-8549,-9748,4507
317150,2676,-7476,13242,-4449,-2338,5447
317143,5448,-7274,11723,1143,-2359,5329
317145,5538,-7896,12427,3790,-6742,1096
317091,5438,-8364,13338,2161,-6369,-1131
317159,5707,-7691,12279,2274,-2970,-502
317165,6221,-7190,13446,-733,1815,1941
317179,7331,-7491,15860,1852,-4209,1893
317198,5598,-8202,13162,2577,-2309,-276
317128,5109,-8723,13266,1265,-1293,455
317111,6077,-7833,13983,4294,767,-73
317137,7365,-6696,14147,4494,-212,1107
317146,6515,-6405,13614,2809,154,2458
