AG-1 v20140114
sample-rate: 40 Hz
accel range: +/-2 g (+/-32768)
dt units: 83.33 ns
dt,accel(x,y,z)
76635,6790,-5319,13552
73959,3593,-4878,15696
317228,-667,-2037,22785
317152,-1692,-809,24146
317210,-2623,-1134,23226
317175,-2189,-899,20114
317187,-525,-471,16229
317109,-260,-1052,13219
317131,400,-749,11912
317176,1241,-726,9451
317124,2667,-308,6363
317163,3449,165,5808
317109,3681,769,6614
317101,3458,880,6298
317122,4099,1077,5513
317167,4516,993,5537
317175,4169,712,6113
317122,3564,730,8285
317129,2811,919,11774
317137,2473,1108,13128
317145,2309,1063,11909
317147,2550,1123,12682
317159,2130,441,15666
317173,1632,-563,16789
317145,2188,-1172,17849
317127,3228,-1229,21490
317180,3802,-1043,23283
317165,4239,-837,24002
317133,4334,-534,25306
317155,3645,-366,25546
317177,2364,-840,23920
317161,829,-1494,23139
317173,-467,-1797,21529
317134,-1536,-2252,17827
317159,-2125,-1701,18045
317121,-1552,-378,20350
317148,-4423,-2255,16865
317194,-6704,-3531,13505
317133,-4596,-1476,16970
317168,-4652,-1064,17603
317148,-5814,-1415,15645
317187,-4814,-542,15971
317176,-2907,721,15543
317119,-2754,447,13369
317130,-3985,-426,13088
317152,-3956,-417,14192
317155,-2720,457,15253
317173,-2198,1045,17097
317174,-3306,-462,17770
317118,-1145,-1644,14908
317115,959,-2963,13456
317105,-260,-4836,16542
317136,-1851,-7362,20799
317124,704,-8291,17798
317113,2340,-7896,16115
317052,2950,-7659,19223
317080,1341,-7749,17048
317089,618,-6828,13456
317048,2502,-3984,17239
317107,3037,-1757,19054
317104,-355,-1226,16647
317075,-616,904,17410
317053,1629,3052,18109
317082,1683,4294,15479
317114,521,5799,16684
317138,-902,6633,19060
317138,-1733,6702,16483
317106,-914,6568,15628
317054,-1031,6580,16126
317073,-751,6409,15945
317111,522,6256,16025
317105,227,6004,16113
317094,-1293,5080,16956
317090,-978,4378,16655
317081,-178,3756,16876
317108,-872,2328,17660
317121,-91,1276,17464
317083,768,-104,16537
317083,-1030,-3162,16062
317044,-2077,-5457,16570
317072,-670,-6048,17872
317081,-664,-7199,16885
317070,-954,-7026,14699
317082,-446,-6705,17157
317117,612,-5721,17419
317064,1544,-4470,15481
317102,682,-3675,15762
317137,1718,-3171,17382
317064,1636,-2949,15833
317085,1411,-2018,14655
317114,2182,-1545,15988
317131,3451,-1245,16112
317083,1706,-1074,14484
317074,1036,-711,16758
317026,827,-1653,18039
317058,548,-1557,16888
