AG-1 v20140114
sample-rate: 40 Hz
gyro range: +/-250 dps (+/-32768)
dt units: 83.33 ns
dt,gyro(x,y,z)
91039,-2147,2920,-1620
150680,-2146,2915,-1640
317116,-2120,2892,-1640
317113,-2145,2880,-1662
317136,-2109,2917,-1658
317100,-2189,2977,-1615
317119,-1969,2777,-1668
317107,11342,-21186,-843
317111,-11546,9497,-4813
317136,-21489,6148,-20750
317070,-15966,-24842,-32768
317105,-5110,-32768,-32768
317135,-6230,-32768,-32768
317094,7855,-32768,-32768
317157,18809,-32768,-32768
317115,30481,-32768,-32768
317105,32752,-32768,-32768
317045,32752,-32768,-32768
317087,31771,-25277,-32768
317075,17235,4372,-32768
317111,1994,17709,-32768
317111,-14804,25008,-32768
317115,-28858,30792,-32752
317102,-30651,25306,-22778
317141,-28467,18827,-16540
317093,-32608,15049,-9823
317105,-32608,3828,5162
317112,-32608,-6381,14606
317145,-32608,-12688,31979
317157,-32608,-6932,32671
317138,-32608,-5070,27279
317163,-32608,-4793,30031
317176,-32608,-5223,20821
317150,-32608,-8903,19668
317168,-32608,-14895,24932
317184,-32366,-15642,20198
317140,-15327,-25538,13346
317115,5648,-32768,-3115
317132,17913,-32768,-7985
317162,14876,-32521,-6397
317114,22971,-26050,-7347
317136,32752,-27927,-19886
317123,32752,-32617,-32721
317120,32752,-32768,-29672
317148,32752,-32755,-29494
317157,32752,-23706,-32600
317188,32752,-9410,-21147
317185,32752,-2663,-19317
317197,32715,6580,-28535
317180,29038,17160,-24768
317178,27350,16732,-30644
317151,4370,21406,-25277
317131,-8525,21243,-12590
317183,-7246,21569,-7406
317169,-16620,16436,-9668
317129,-21070,23528,-12003
317133,-27374,14975,-22980
317147,-15053,-9598,-20071
317154,-10859,-12803,-18051
317110,9486,-7098,-15415
317092,14938,-22112,-18898
317164,14006,-31211,-7951
317123,8719,-26463,-2994
317115,-980,-21417,-5972
317075,-4075,-16574,13060
317104,17784,-18783,18950
317089,19759,-15568,7428
317078,8753,-12342,5738
317131,22077,-15734,25693
317118,27448,-10084,32655
317145,4579,8038,32109
317143,-1680,5914,20384
317127,11159,788,27277
317166,19355,11869,32657
317112,11842,-3869,10680
317075,11135,2824,2896
317150,14292,132,-4020
317156,14570,5520,-3051
317156,11491,-4678,-8592
317136,9409,-10763,-17295
317159,6852,-11844,-21927
317114,2539,-12314,-22918
317153,-9701,-8496,-12468
317171,3435,-25267,-3951
317042,3098,-26720,-12853
317117,-7908,-17366,-16651
317082,-10432,-11446,-9569
317066,-9497,-6383,2974
317058,-13015,-2211,-1294
317085,-8167,-966,-1864
317072,-6951,-1452,-2150
